Episode 218, Reward: 100
Episode 219, Reward: 400
Episode  220 | eps=0.886 | mean=260.0 | best=400.0 | steps=56864
Episode 220, Reward: 350
Episode 221, Reward: 300
Episode 222, Reward: 450
Episode 223, Reward: 350
Episode 224, Reward: 150
Episode 225, Reward: 200
Episode 226, Reward: 450
Episode 227, Reward: 200
Episode 228, Reward: 400
Episode 229, Reward: 100
Episode 230, Reward: 300
Episode 231, Reward: 800
Episode 232, Reward: 300
Episode 233, Reward: 300
Episode 234, Reward: 250
Episode 235, Reward: 250
Episode 236, Reward: 350
Episode 237, Reward: 200
Episode 238, Reward: 350
Episode 239, Reward: 500
Episode  240 | eps=0.876 | mean=327.5 | best=800.0 | steps=62246
Episode 240, Reward: 300
Episode 241, Reward: 250
Episode 242, Reward: 350
Episode 243, Reward: 500
Episode 244, Reward: 300
Episode 245, Reward: 350
Episode 246, Reward: 600
Episode 247, Reward: 150
Episode 248, Reward: 400
Episode 249, Reward: 700
Episode 250, Reward: 300
Episode 251, Reward: 250
Episode 252, Reward: 350
Episode 253, Reward: 250
Episode 254, Reward: 300
Episode 255, Reward: 900
Episode 256, Reward: 250
Episode 257, Reward: 100
Episode 258, Reward: 150
Episode 259, Reward: 150
Episode  260 | eps=0.864 | mean=345.0 | best=900.0 | steps=67790
Episode 260, Reward: 450
Episode 261, Reward: 350
Episode 262, Reward: 250
Episode 263, Reward: 450
Episode 264, Reward: 300
Episode 265, Reward: 300
Episode 266, Reward: 150
Episode 267, Reward: 550
Episode 268, Reward: 200
Episode 269, Reward: 150
Episode 270, Reward: 300
Episode 271, Reward: 200
Episode 272, Reward: 200
Episode 273, Reward: 100
Episode 274, Reward: 400
Episode 275, Reward: 150
Episode 276, Reward: 100
Episode 277, Reward: 300
Episode 278, Reward: 300
Episode 279, Reward: 100
Episode  280 | eps=0.854 | mean=265.0 | best=550.0 | steps=72816
Episode 280, Reward: 650
Episode 281, Reward: 100
Episode 282, Reward: 200
Episode 283, Reward: 550
Episode 284, Reward: 150
Episode 285, Reward: 350
Episode 286, Reward: 200
Episode 287, Reward: 150
Episode 288, Reward: 400
Episode 289, Reward: 200
Episode 290, Reward: 400
Episode 291, Reward: 200
Episode 292, Reward: 200
Episode 293, Reward: 100
Episode 294, Reward: 150
Episode 295, Reward: 250
Episode 296, Reward: 100
Episode 297, Reward: 200
Episode 298, Reward: 350
Episode 299, Reward: 100
Episode  300 | eps=0.844 | mean=250.0 | best=650.0 | steps=77826
Episode 300, Reward: 400
Episode 301, Reward: 250
Episode 302, Reward: 100
Episode 303, Reward: 100
Episode 304, Reward: 250
Episode 305, Reward: 300
Episode 306, Reward: 200
Episode 307, Reward: 400
Episode 308, Reward: 350
Episode 309, Reward: 250
Episode 310, Reward: 600
Episode 311, Reward: 150
Episode 312, Reward: 100
Episode 313, Reward: 250
Episode 314, Reward: 250
Episode 315, Reward: 300
Episode 316, Reward: 250
Episode 317, Reward: 300
Episode 318, Reward: 200
Episode 319, Reward: 200
Episode  320 | eps=0.835 | mean=260.0 | best=600.0 | steps=82740
Episode 320, Reward: 200
Episode 321, Reward: 450
Episode 322, Reward: 150
Episode 323, Reward: 100
Episode 324, Reward: 350
Episode 325, Reward: 600
Episode 326, Reward: 150
Episode 327, Reward: 450
Episode 328, Reward: 150
Episode 329, Reward: 250
Episode 330, Reward: 300
Episode 331, Reward: 500
Episode 332, Reward: 100
Episode 333, Reward: 450
Episode 334, Reward: 150
Episode 335, Reward: 250
Episode 336, Reward: 650
Episode 337, Reward: 250
Episode 338, Reward: 100
Episode 339, Reward: 400
Episode  340 | eps=0.823 | mean=300.0 | best=650.0 | steps=88301
Episode 340, Reward: 100
Episode 341, Reward: 200
Episode 342, Reward: 100
Episode 343, Reward: 300
Episode 344, Reward: 150
Episode 345, Reward: 250
Episode 346, Reward: 250
Episode 347, Reward: 300
Episode 348, Reward: 150
Episode 349, Reward: 150
Episode 350, Reward: 150
Episode 351, Reward: 300
Episode 352, Reward: 100
Episode 353, Reward: 350
Episode 354, Reward: 250
Episode 355, Reward: 200
Episode 356, Reward: 150
Episode 357, Reward: 100
Episode 358, Reward: 500
Episode 359, Reward: 700
Episode  360 | eps=0.813 | mean=237.5 | best=700.0 | steps=93317
Episode 360, Reward: 450
Episode 361, Reward: 150
Episode 362, Reward: 250
Episode 363, Reward: 200
Episode 364, Reward: 300
Episode 365, Reward: 100
Episode 366, Reward: 550
Episode 367, Reward: 150
Episode 368, Reward: 150
Episode 369, Reward: 450
Episode 370, Reward: 250
Episode 371, Reward: 800
Episode 372, Reward: 100
Episode 373, Reward: 200
Episode 374, Reward: 150
Episode 375, Reward: 150
Episode 376, Reward: 150
Episode 377, Reward: 300
Episode 378, Reward: 300
Episode 379, Reward: 750
Episode  380 | eps=0.803 | mean=295.0 | best=800.0 | steps=98510
Episode 380, Reward: 150
Episode 381, Reward: 150
Episode 382, Reward: 150
Episode 383, Reward: 400
Episode 384, Reward: 650
Episode 385, Reward: 450
Episode 386, Reward: 100
Episode 387, Reward: 350
Episode 388, Reward: 250
Episode 389, Reward: 300
Episode 390, Reward: 500
Episode 391, Reward: 550
Episode 392, Reward: 300
Episode 393, Reward: 150
Episode 394, Reward: 150
Episode 395, Reward: 450
Episode 396, Reward: 200
Episode 397, Reward: 250
Episode 398, Reward: 400
Episode 399, Reward: 500
Episode  400 | eps=0.792 | mean=320.0 | best=650.0 | steps=104103
Episode 400, Reward: 150
Episode 401, Reward: 200
Episode 402, Reward: 100
Episode 403, Reward: 700
Episode 404, Reward: 450
Episode 405, Reward: 200
Episode 406, Reward: 250
Episode 407, Reward: 300
Episode 408, Reward: 300
Episode 409, Reward: 300
Episode 410, Reward: 300
Episode 411, Reward: 350
Episode 412, Reward: 250
Episode 413, Reward: 350
Episode 414, Reward: 250
Episode 415, Reward: 500
Episode 416, Reward: 500
Episode 417, Reward: 250
Episode 418, Reward: 650
Episode 419, Reward: 350
Episode  420 | eps=0.781 | mean=335.0 | best=700.0 | steps=109553
Episode 420, Reward: 400
Episode 421, Reward: 200
Episode 422, Reward: 200
Episode 423, Reward: 300
Episode 424, Reward: 250
Episode 425, Reward: 250
Episode 426, Reward: 350
Episode 427, Reward: 100
Episode 428, Reward: 300
Episode 429, Reward: 350
Episode 430, Reward: 100
Episode 431, Reward: 250
Episode 432, Reward: 350
Episode 433, Reward: 300
Episode 434, Reward: 150
Episode 435, Reward: 250
Episode 436, Reward: 100
Episode 437, Reward: 250
Episode 438, Reward: 400
Episode 439, Reward: 200
Episode  440 | eps=0.771 | mean=252.5 | best=400.0 | steps=114477
Episode 440, Reward: 150
Episode 441, Reward: 350
Episode 442, Reward: 250
Episode 443, Reward: 450
Episode 444, Reward: 100
Episode 445, Reward: 250
Episode 446, Reward: 400
Episode 447, Reward: 400
Episode 448, Reward: 300
Episode 449, Reward: 200
Episode 450, Reward: 250
Episode 451, Reward: 150
Episode 452, Reward: 200
Episode 453, Reward: 200
Episode 454, Reward: 250
Episode 455, Reward: 150
Episode 456, Reward: 250
Episode 457, Reward: 100
Episode 458, Reward: 300
Episode 459, Reward: 100
Episode  460 | eps=0.761 | mean=240.0 | best=450.0 | steps=119365
Episode 460, Reward: 100
Episode 461, Reward: 250
Episode 462, Reward: 200
Episode 463, Reward: 250
Episode 464, Reward: 350
Episode 465, Reward: 550
Episode 466, Reward: 250
Episode 467, Reward: 200
Episode 468, Reward: 100
Episode 469, Reward: 150
Episode 470, Reward: 200
Episode 471, Reward: 200
Episode 472, Reward: 500
Episode 473, Reward: 350
Episode 474, Reward: 100
Episode 475, Reward: 300
Episode 476, Reward: 450
Episode 477, Reward: 200
Episode 478, Reward: 150
Episode 479, Reward: 200
Episode  480 | eps=0.752 | mean=252.5 | best=550.0 | steps=124112
Episode 480, Reward: 150
Episode 481, Reward: 100
Episode 482, Reward: 400
Episode 483, Reward: 150
Episode 484, Reward: 400
Episode 485, Reward: 400
Episode 486, Reward: 350
Episode 487, Reward: 250
Episode 488, Reward: 200
Episode 489, Reward: 400
Episode 490, Reward: 400
Episode 491, Reward: 100
Episode 492, Reward: 450
Episode 493, Reward: 300
Episode 494, Reward: 450
Episode 495, Reward: 100
Episode 496, Reward: 100
Episode 497, Reward: 100
Episode 498, Reward: 200
Episode 499, Reward: 250
Episode  500 | eps=0.742 | mean=262.5 | best=450.0 | steps=129239
Episode 500, Reward: 250
Checkpoint saved — episode 500, steps 129476
Checkpoint saved at episode 500
Episode 501, Reward: 150
Episode 502, Reward: 1150
Episode 503, Reward: 100
Episode 504, Reward: 200
Episode 505, Reward: 200
Episode 506, Reward: 350
Episode 507, Reward: 750
Episode 508, Reward: 150
Episode 509, Reward: 300
Episode 510, Reward: 250
Episode 511, Reward: 400
Episode 512, Reward: 250
Episode 513, Reward: 350
Episode 514, Reward: 400
Episode 515, Reward: 200
Episode 516, Reward: 300
Episode 517, Reward: 200
Episode 518, Reward: 100
Episode 519, Reward: 250
Episode  520 | eps=0.730 | mean=315.0 | best=1150.0 | steps=134966
Episode 520, Reward: 400
Episode 521, Reward: 250
Episode 522, Reward: 50
Episode 523, Reward: 150
Episode 524, Reward: 350
Episode 525, Reward: 250
Episode 526, Reward: 100
Episode 527, Reward: 100
Episode 528, Reward: 500
Episode 529, Reward: 500
Episode 530, Reward: 50
Episode 531, Reward: 300
Episode 532, Reward: 200
Episode 533, Reward: 150
Episode 534, Reward: 100
Episode 535, Reward: 200
Episode 536, Reward: 350
Episode 537, Reward: 950
Episode 538, Reward: 150
Episode 539, Reward: 400
Episode  540 | eps=0.719 | mean=275.0 | best=950.0 | steps=140261
Episode 540, Reward: 150
Episode 541, Reward: 50
Episode 542, Reward: 250
Episode 543, Reward: 350
Episode 544, Reward: 350
Episode 545, Reward: 150
Episode 546, Reward: 650
Episode 547, Reward: 700
Episode 548, Reward: 250
Episode 549, Reward: 250
Episode 550, Reward: 300
Episode 551, Reward: 250
Episode 552, Reward: 450
Episode 553, Reward: 150
Episode 554, Reward: 250
Episode 555, Reward: 200
Episode 556, Reward: 500
Episode 557, Reward: 200
Episode 558, Reward: 350
Episode 559, Reward: 200
Episode  560 | eps=0.709 | mean=300.0 | best=700.0 | steps=145261
Episode 560, Reward: 250
Episode 561, Reward: 200
Episode 562, Reward: 300
