Episode 218, Reward: 450
Episode 219, Reward: 100
Episode  220 | eps=0.421 | mean=347.5 | best=600.0 | steps=57869
Episode 220, Reward: 150
Episode 221, Reward: 150
Episode 222, Reward: 300
Episode 223, Reward: 200
Episode 224, Reward: 200
Episode 225, Reward: 250
Episode 226, Reward: 350
Episode 227, Reward: 300
Episode 228, Reward: 150
Episode 229, Reward: 350
Episode 230, Reward: 150
Episode 231, Reward: 450
Episode 232, Reward: 250
Episode 233, Reward: 100
Episode 234, Reward: 300
Episode 235, Reward: 500
Episode 236, Reward: 150
Episode 237, Reward: 250
Episode 238, Reward: 550
Episode 239, Reward: 300
Episode  240 | eps=0.375 | mean=270.0 | best=550.0 | steps=62471
Episode 240, Reward: 450
Episode 241, Reward: 300
Episode 242, Reward: 250
Episode 243, Reward: 100
Episode 244, Reward: 300
Episode 245, Reward: 250
Episode 246, Reward: 350
Episode 247, Reward: 200
Episode 248, Reward: 550
Episode 249, Reward: 150
Episode 250, Reward: 50
Episode 251, Reward: 600
Episode 252, Reward: 50
Episode 253, Reward: 300
Episode 254, Reward: 250
Episode 255, Reward: 650
Episode 256, Reward: 450
Episode 257, Reward: 250
Episode 258, Reward: 300
Episode 259, Reward: 250
Episode  260 | eps=0.327 | mean=302.5 | best=650.0 | steps=67302
Episode 260, Reward: 200
Episode 261, Reward: 250
Episode 262, Reward: 400
Episode 263, Reward: 200
Episode 264, Reward: 200
Episode 265, Reward: 300
Episode 266, Reward: 300
Episode 267, Reward: 400
Episode 268, Reward: 650
Episode 269, Reward: 200
Episode 270, Reward: 500
Episode 271, Reward: 200
Episode 272, Reward: 300
Episode 273, Reward: 250
Episode 274, Reward: 300
Episode 275, Reward: 250
Episode 276, Reward: 200
Episode 277, Reward: 500
Episode 278, Reward: 300
Episode 279, Reward: 500
Episode  280 | eps=0.276 | mean=320.0 | best=650.0 | steps=72422
Episode 280, Reward: 700
Episode 281, Reward: 350
Episode 282, Reward: 200
Episode 283, Reward: 300
Episode 284, Reward: 250
Episode 285, Reward: 400
Episode 286, Reward: 200
Episode 287, Reward: 300
Episode 288, Reward: 250
Episode 289, Reward: 400
Episode 290, Reward: 200
Episode 291, Reward: 300
Episode 292, Reward: 250
Episode 293, Reward: 350
Episode 294, Reward: 200
Episode 295, Reward: 450
Episode 296, Reward: 300
Episode 297, Reward: 200
Episode 298, Reward: 200
Episode 299, Reward: 350
Episode  300 | eps=0.224 | mean=307.5 | best=700.0 | steps=77622
Episode 300, Reward: 150
Episode 301, Reward: 350
Episode 302, Reward: 250
Episode 303, Reward: 200
Episode 304, Reward: 450
Episode 305, Reward: 400
Episode 306, Reward: 100
Episode 307, Reward: 350
Episode 308, Reward: 650
Episode 309, Reward: 200
Episode 310, Reward: 150
Episode 311, Reward: 300
Episode 312, Reward: 200
Episode 313, Reward: 200
Episode 314, Reward: 350
Episode 315, Reward: 200
Episode 316, Reward: 550
Episode 317, Reward: 350
Episode 318, Reward: 250
Episode 319, Reward: 300
Episode  320 | eps=0.175 | mean=297.5 | best=650.0 | steps=82504
Episode 320, Reward: 700
Episode 321, Reward: 400
Episode 322, Reward: 200
Episode 323, Reward: 350
Episode 324, Reward: 450
Episode 325, Reward: 350
Episode 326, Reward: 250
Episode 327, Reward: 200
Episode 328, Reward: 200
Episode 329, Reward: 400
Episode 330, Reward: 400
Episode 331, Reward: 100
Episode 332, Reward: 450
Episode 333, Reward: 300
Episode 334, Reward: 350
Episode 335, Reward: 200
Episode 336, Reward: 600
Episode 337, Reward: 250
Episode 338, Reward: 300
Episode 339, Reward: 250
Episode  340 | eps=0.124 | mean=335.0 | best=700.0 | steps=87559
Episode 340, Reward: 250
Episode 341, Reward: 350
Episode 342, Reward: 550
Episode 343, Reward: 450
Episode 344, Reward: 400
Episode 345, Reward: 300
Episode 346, Reward: 400
Episode 347, Reward: 450
Episode 348, Reward: 250
Episode 349, Reward: 150
Episode 350, Reward: 500
Episode 351, Reward: 600
Episode 352, Reward: 350
Episode 353, Reward: 400
Episode 354, Reward: 550
Episode 355, Reward: 300
Episode 356, Reward: 200
Episode 357, Reward: 250
Episode 358, Reward: 600
Episode 359, Reward: 450
Episode  360 | eps=0.100 | mean=387.5 | best=600.0 | steps=92956
Episode 360, Reward: 250
Episode 361, Reward: 300
Episode 362, Reward: 500
Episode 363, Reward: 350
Episode 364, Reward: 400
Episode 365, Reward: 550
Episode 366, Reward: 600
Episode 367, Reward: 900
Episode 368, Reward: 600
Episode 369, Reward: 400
Episode 370, Reward: 300
Episode 371, Reward: 200
