Episode 218, Reward: 250
Episode 219, Reward: 550
Episode  220 | eps=0.100 | mean=397.5 | best=850.0 | steps=110103
Episode 220, Reward: 350
Episode 221, Reward: 400
Episode 222, Reward: 300
Episode 223, Reward: 450
Episode 224, Reward: 250
Episode 225, Reward: 700
Episode 226, Reward: 450
Episode 227, Reward: 600
Episode 228, Reward: 200
Episode 229, Reward: 150
Episode 230, Reward: 400
Episode 231, Reward: 300
Episode 232, Reward: 300
Episode 233, Reward: 100
Episode 234, Reward: 250
Episode 235, Reward: 450
Episode 236, Reward: 250
Episode 237, Reward: 550
Episode 238, Reward: 100
Episode 239, Reward: 150
Episode  240 | eps=0.100 | mean=335.0 | best=700.0 | steps=115448
Episode 240, Reward: 150
Episode 241, Reward: 350
Episode 242, Reward: 150
Episode 243, Reward: 250
Episode 244, Reward: 600
Episode 245, Reward: 250
Episode 246, Reward: 250
Episode 247, Reward: 250
Episode 248, Reward: 100
Episode 249, Reward: 400
Episode 250, Reward: 150
Episode 251, Reward: 400
Episode 252, Reward: 200
Episode 253, Reward: 250
Episode 254, Reward: 150
Episode 255, Reward: 450
Episode 256, Reward: 200
Episode 257, Reward: 500
Episode 258, Reward: 500
Episode 259, Reward: 850
Episode  260 | eps=0.100 | mean=320.0 | best=850.0 | steps=120614
Episode 260, Reward: 300
Episode 261, Reward: 200
Episode 262, Reward: 750
Episode 263, Reward: 400
Episode 264, Reward: 550
Episode 265, Reward: 250
Episode 266, Reward: 450
Episode 267, Reward: 250
Episode 268, Reward: 200
Episode 269, Reward: 300
Episode 270, Reward: 300
Episode 271, Reward: 350
Episode 272, Reward: 200
Episode 273, Reward: 250
Episode 274, Reward: 350
Episode 275, Reward: 350
Episode 276, Reward: 150
Episode 277, Reward: 200
Episode 278, Reward: 150
Episode 279, Reward: 500
Episode  280 | eps=0.100 | mean=322.5 | best=750.0 | steps=125405
Episode 280, Reward: 400
Episode 281, Reward: 300
Episode 282, Reward: 950
Episode 283, Reward: 250
Episode 284, Reward: 300
Episode 285, Reward: 700
